id,categoryId,name,description,price,quantity,imageUrl
84,7,Cycling Helmet,Protective cycling helmet,1499,90,https://loremflickr.com/400/300/helmet
85,7,Football,Standard size football,799,150,https://loremflickr.com/400/300/football
86,7,Cricket Bat,Wooden cricket bat,1999,80,https://loremflickr.com/400/300/cricketbat
87,7,Yoga Ball,Anti-burst gym ball,899,120,https://loremflickr.com/400/300/yogaball
88,7,Resistance Bands,Workout resistance bands set,699,140,https://loremflickr.com/400/300/resistancebands
89,7,Gym Gloves,Anti-slip workout gloves,499,160,https://loremflickr.com/400/300/gloves
90,7,Water Bottle,Insulated sports water bottle,799,200,https://loremflickr.com/400/300/bottle
91,8,Teddy Bear,Soft plush teddy bear,699,120,https://loremflickr.com/400/300/teddybear
92,8,Building Blocks,Kids construction blocks set,999,100,https://loremflickr.com/400/300/blocks
93,8,Remote Car,Remote control toy car,1499,80,https://loremflickr.com/400/300/remotecar
94,8,Barbie Doll,Fashion doll for kids,1299,90,https://loremflickr.com/400/300/doll
95,8,Baby Stroller,Comfortable baby stroller,5999,30,https://loremflickr.com/400/300/stroller
96,8,Baby Diapers,Pack of baby diapers,799,150,https://loremflickr.com/400/300/diapers
97,8,Educational Toy,Learning toy for toddlers,899,110,https://loremflickr.com/400/300/educationaltoy
98,8,Puzzle Game,100-piece puzzle game,499,130,https://loremflickr.com/400/300/puzzle
99,8,Toy Train,Electric toy train set,1799,70,https://loremflickr.com/400/300/train
100,8,Kids Bicycle,Children's bicycle,4999,40,https://loremflickr.com/400/300/bicycle
101,9,Car Cover,Waterproof car cover,1499,80,https://loremflickr.com/400/300/carcover
102,9,Bike Helmet,ISI certified bike helmet,1999,100,https://loremflickr.com/400/300/bikehelmet
103,9,Car Vacuum,Portable car vacuum cleaner,2499,60,https://loremflickr.com/400/300/carvacuum
104,9,Seat Covers,Car seat cover set,2999,50,https://loremflickr.com/400/300/seatcover
105,9,Engine Oil,4T engine oil 1L,499,200,https://loremflickr.com/400/300/engineoil
106,9,Car Polish,Car body polish liquid,399,180,https://loremflickr.com/400/300/carpolish
107,9,Tyre Inflator,Digital tyre inflator,1999,90,https://loremflickr.com/400/300/inflator
108,9,Jump Starter,Portable car jump starter,4999,40,https://loremflickr.com/400/300/jumpstarter
109,9,Dashboard Camera,Car dashcam HD recording,3499,70,https://loremflickr.com/400/300/dashcam
110,9,Car Charger,Dual USB car charger,499,150,https://loremflickr.com/400/300/carcharger
111,10,Protein Powder,Whey protein supplement 1kg,2999,80,https://loremflickr.com/400/300/protein
112,10,Multivitamin Tablets,Daily multivitamin tablets,499,200,https://loremflickr.com/400/300/vitamins
113,10,Digital Thermometer,Accurate body thermometer,299,150,https://loremflickr.com/400/300/thermometer
114,10,Blood Pressure Monitor,Automatic BP monitor,1999,70,https://loremflickr.com/400/300/bpmonitor
115,10,Weighing Scale,Digital body weight scale,1299,90,https://loremflickr.com/400/300/weighing
116,10,Face Mask Pack,Disposable face masks pack,199,300,https://loremflickr.com/400/300/mask
117,10,Hand Sanitizer,Alcohol-based sanitizer 500ml,149,250,https://loremflickr.com/400/300/sanitizer
118,10,First Aid Kit,Complete first aid kit box,799,120,https://loremflickr.com/400/300/firstaid
119,10,Fitness Tracker,Basic fitness tracking band,1999,100,https://loremflickr.com/400/300/fitnesstracker
120,10,Massage Gun,Muscle recovery massage gun,4999,50,https://loremflickr.com/400/300/massagegun
